"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"norG_4","","HTH-type transcriptional regulator NorG","7","0","0","9","100.0","100.0","inf","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","1","0","1.0","1.0"
"group_1545","","hypothetical protein","7","0","0","9","100.0","100.0","inf","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","1","0","1.0","1.0"
"group_1586","yfnB_2","Putative HAD-hydrolase YfnB","7","0","0","9","100.0","100.0","inf","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","1","0","1.0","1.0"
"group_1788","kinE_9","Sporulation kinase E","7","0","0","9","100.0","100.0","inf","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","1","0","1.0","1.0"
"group_1976","fumC","Fumarate hydratase class II","7","0","0","9","100.0","100.0","inf","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","1","0","1.0","1.0"
"fosB2","","Metallothiol transferase FosB 2","7","0","0","9","100.0","100.0","inf","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","1","0","1.0","1.0"
"group_3690","ilvH_2","Acetolactate synthase small subunit","7","0","0","9","100.0","100.0","inf","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","1","0","1.0","1.0"
"group_40","yohK_1","Inner membrane protein YohK","7","0","0","9","100.0","100.0","inf","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","1","0","1.0","1.0"
"mrdB","","putative peptidoglycan glycosyltransferase FtsW","7","0","0","9","100.0","100.0","inf","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","1","0","1.0","1.0"
"vpr_2","","Minor extracellular protease vpr","7","0","0","9","100.0","100.0","inf","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","1","0","1.0","1.0"
"tasA_3","","Spore coat-associated protein N","7","0","0","9","100.0","100.0","inf","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","1","0","1.0","1.0"
"group_543","","hypothetical protein","7","0","0","9","100.0","100.0","inf","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","1","0","1.0","1.0"
"alsT_3","","Amino-acid carrier protein AlsT","7","0","0","9","100.0","100.0","inf","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","1","0","1.0","1.0"
"blm","","Metallo-beta-lactamase type 2","7","0","0","9","100.0","100.0","inf","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","1","0","1.0","1.0"
"ycgJ_3","","putative methyltransferase YcgJ","7","0","0","9","100.0","100.0","inf","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","1","0","1.0","1.0"
"group_883","","hypothetical protein","7","0","0","9","100.0","100.0","inf","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","1","0","1.0","1.0"
"group_10242","","tRNA-Val(tac)","1","9","6","0","14.285714285714285","0.0","0.0","0.0008741258741258734","1.0","0.014831002331002334","1","0","1","1.0","1.0"
"group_168","","hypothetical protein","1","9","6","0","14.285714285714285","0.0","0.0","0.0008741258741258734","1.0","0.014831002331002334","1","0","1","1.0","1.0"
"group_1956","","hypothetical protein","1","9","6","0","14.285714285714285","0.0","0.0","0.0008741258741258734","1.0","0.014831002331002334","1","0","1","1.0","1.0"
"group_1958","","hypothetical protein","1","9","6","0","14.285714285714285","0.0","0.0","0.0008741258741258734","1.0","0.014831002331002334","1","0","1","1.0","1.0"
"yodJ_3","","Putative carboxypeptidase YodJ","1","9","6","0","14.285714285714285","0.0","0.0","0.0008741258741258734","1.0","0.014831002331002334","1","0","1","1.0","1.0"
