	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56
62	5735	1374	1049	952	781	921	56	426	556	6	18	734	1754	14	584	358	1296	326	262	403	97	873	232	290	103	426	437	2	331	785	160	291	1506	938	24	74	26	492	15	209	23	57	260	92	223	33	374	272	49	105	246	213	206	285	323	494
63	5948	674	670	1022	1706	961	529	765	403	417	593	449	463	266	1585	333	514	236	401	294	237	274	372	17	26	286	393	1410	273	1132	206	810	4	53	914	225	31	229	331	105	2	207	35	267	80	393	52	13	728	233	223	177	89	6	22	87
64	5547	1525	760	2085	1134	741	798	1789	1297	435	87	579	344	468	593	577	286	413	886	379	22	96	95	31	264	309	239	291	251	290	50	486	105	7	85	925	237	237	33	186	751	142	492	3	196	85	187	288	92	32	49	230	15	175	273	199
65	5201	2217	929	66	922	1014	304	545	781	6	451	580	376	588	110	103	18	1018	436	559	841	208	474	399	606	331	340	51	339	36	229	295	322	240	81	265	190	69	238	1402	54	380	400	940	345	448	7	243	24	13	6	94	240	308	1294	195
66	5735	1607	1064	281	1025	815	1881	1382	574	455	88	111	94	380	518	373	152	8	252	460	1076	236	305	1437	838	272	217	427	288	358	118	103	70	145	3	35	467	220	446	281	307	90	318	730	332	368	2	44	233	5	95	495	95	240	23	197
67	5826	1759	730	1178	322	483	635	845	363	304	594	79	16	554	103	1480	405	397	1539	278	329	222	4	34	310	249	470	545	36	262	91	106	608	185	79	4	229	400	207	880	786	51	19	273	144	187	1377	46	897	142	49	18	305	276	228	233
68	5444	163	2075	1394	662	1515	749	647	819	773	291	687	391	529	260	314	1522	414	283	109	201	636	22	200	836	142	5	113	254	280	255	93	287	368	70	261	82	204	288	401	3	193	280	213	25	5	159	6	41	405	32	279	1316	201	18	956
69	5641	1927	954	983	1005	875	721	357	385	103	400	38	436	414	293	446	72	510	385	362	1313	1436	358	102	138	490	87	228	978	110	223	248	279	264	244	48	108	210	8	50	746	72	407	22	4	24	215	98	3	198	1310	773	283	232	324	231
70	5466	1895	1169	142	922	786	218	837	19	521	67	962	388	77	531	303	350	404	37	536	239	1648	393	309	14	291	368	33	51	380	312	756	241	298	86	241	416	1294	504	187	147	186	99	193	18	293	4	106	1335	985	495	300	78	88	151	2
71	5741	1504	1298	1963	876	30	716	556	1384	289	518	495	454	618	350	568	335	306	113	148	205	337	289	95	35	503	202	246	90	105	279	303	282	163	77	274	825	187	206	30	26	400	514	16	18	287	965	733	49	46	4	209	221	2	1295	391
